Time,Light,Temperature
0,1005,23
1,1004,23
2,1004,22
3,1003,23
4,1004,22
5,1004,23
6,1004,22
7,1003,23
8,1004,22
9,1004,23
10,1004,22
11,1004,23
12,1004,22
13,1005,23
14,1004,23
15,1004,22
16,1003,22
17,1004,22
18,1004,22
19,1004,22
20,1004,22
21,1003,22
22,1004,22
23,1004,22
24,1004,22
25,1004,22
26,1004,23
27,1004,22
28,1004,22
29,1004,22
30,1005,22
31,1003,23
32,1004,23
33,1004,22
34,1004,23
35,1004,23
36,1004,23
37,1004,23
38,1004,22
39,1004,23
40,1004,22
41,1004,23
42,1004,22
43,1004,23
44,1004,22
45,1004,23
46,1004,23
47,1004,23
48,1004,23
49,1004,23
50,1004,23
51,1004,23
52,1004,23
53,1004,22
54,1003,23
55,1004,22
56,1003,22
57,1004,22
58,1004,23
59,1004,23
60,1004,22
61,1004,22
62,1004,23
63,1005,23
64,1004,23
65,1004,23
66,1004,23
67,1004,23
68,1004,23
69,1004,23
70,1004,22
71,1004,23
72,1004,22
73,1004,23
74,1004,23
75,1004,23
76,1004,23
77,1004,23
78,1004,23
79,1004,23
80,1004,23
81,1004,23
82,1003,22
83,1004,22
84,1003,23
85,1003,22
86,1004,23
87,1004,22
88,1004,22
89,1004,22
90,1004,23
91,1004,22
92,1003,23
93,1004,23
94,1004,23
95,1004,23
96,1003,23
97,1004,23
98,1003,23
99,1003,23
100,1003,22
101,1003,23
102,1004,22
103,1004,23
104,1003,23
105,1003,23
106,1003,23
107,1003,23
108,1003,23
109,1003,23
110,1003,23
111,1004,23
112,1003,23
113,1003,23
114,1003,23
115,1003,23
116,1003,23
117,1003,23
118,1003,23
119,1003,23
120,1003,23
121,1003,23
122,1003,23
123,1003,23
124,1003,23
125,1003,23
126,1003,23
127,1003,23
128,1003,23
129,1003,23
130,1003,23
131,1003,23
132,1003,23
133,1003,22
134,1003,22
135,1002,23
136,1003,22
137,1003,23
138,1003,23
139,1003,23
140,1003,23
141,1003,23
142,1003,23
143,1003,23
144,1003,23
145,1003,22
146,1003,23
147,1003,23
148,1003,23
149,1002,23
150,1003,23
151,1003,22
152,1002,23
153,1003,22
154,1002,23
155,1003,22
156,1003,23
157,1003,23
158,1003,22
159,1002,23
160,1002,22
161,1002,22
162,1002,22
163,1000,23
164,1000,22
165,997,23
166,993,22
167,990,23
168,988,22
169,986,23
170,987,23
171,980,23
172,975,23
173,971,23
174,970,23
175,973,23
176,990,23
177,996,23
178,998,23
179,1000,23
180,1002,23
181,1003,22
182,1003,23
183,1004,22
184,1004,23
185,1004,23
186,1004,23
187,1004,22
188,1004,23
189,1003,23
190,1004,23
191,1004,23
192,1003,23
193,1004,23
194,1003,23
195,1004,22
196,1003,22
197,1004,23
198,1004,22
199,1003,22
200,1003,22
201,1003,22
202,1003,22
203,1003,23
204,1004,22
205,1004,23
206,1004,23
207,1004,23
208,1003,23
209,1003,23
210,1004,23
211,1003,23
212,1004,22
213,1003,23
214,1004,23
215,1004,22
216,1003,23
217,1003,22
218,1004,23
219,1004,22
220,1003,23
221,1003,23
222,1000,23
223,998,22
224,979,22
225,965,23
226,960,22
227,968,23
228,977,22
229,984,23
230,985,22
231,987,22
232,993,23
233,992,23
234,993,23
235,993,23
236,993,23
237,996,23
238,997,23
239,998,23
240,998,23
241,997,23
242,997,23
243,995,23
244,995,23
245,994,22
246,993,22
247,994,23
248,993,23
249,993,23
250,993,23
251,993,23
252,993,22
253,994,22
254,993,23
255,993,23
256,993,23
257,993,23
258,993,23
259,993,23
260,993,22
261,993,23
262,993,23
263,993,23
264,992,23
265,992,23
266,992,22
267,992,23
268,990,22
269,989,23
270,987,23
271,985,23
272,984,23
273,983,23
274,981,23
275,978,22
276,977,23
277,975,22
278,976,23
279,982,22
280,995,23
281,998,22
282,1000,22
283,1002,22
284,1003,23
285,1003,22
286,1004,23
287,1004,22
288,1003,23
289,1003,23
290,1004,23
291,1004,23
292,1003,23
293,1003,23
294,1003,22
295,1003,23
296,1004,22
297,1003,22
298,1003,23
299,1003,22
300,1003,22
301,1004,23
302,1003,22
303,1004,23
304,1004,22
305,1003,23
306,1003,23
307,1003,23
308,1003,23
309,1003,22
310,1003,23
311,1003,22
312,1004,23
313,1003,22
314,1004,23
315,1003,22
316,1003,23
317,1004,23
318,1003,23
319,1004,22
320,1004,23
321,1003,22
322,1003,23
323,1004,22
324,1003,22
325,1003,23
326,1004,23
327,1003,23
328,1003,22
329,1003,23
330,1003,23
331,1004,23
332,1002,23
333,1001,23
334,998,23
335,983,23
336,974,23
337,970,23
338,974,23
339,978,23
340,986,23
341,989,22
342,988,23
343,988,22
344,993,23
345,999,22
346,1000,22
347,997,22
348,994,22
349,994,22
350,996,23
351,998,22
352,1000,22
353,1001,22
354,1001,23
355,1001,23
356,1001,23
357,1001,23
358,1001,22
359,1000,22
360,999,23
361,999,23
362,998,22
363,998,23
364,997,23
365,997,23
366,997,22
367,997,23
368,996,23
369,996,23
370,996,23
371,995,22
372,996,22
373,994,22
374,994,23
375,994,22
376,994,23
377,993,22
378,993,22
379,993,22
380,994,22
381,996,22
382,997,23
383,994,22
384,992,22
385,990,22
386,988,22
387,987,23
388,986,23
389,987,22
390,983,23
391,983,23
392,995,22
393,999,22
394,1001,22
395,1003,22
396,1003,22
397,1003,23
398,1003,23
399,1003,23
400,1003,22
401,1004,23
402,1003,23
403,1004,23
404,1003,23
405,1003,22
406,1003,23
407,1003,22
408,1004,23
409,1003,22
410,1003,23
411,1003,23
412,1004,23
413,1003,22
414,1003,23
415,1003,23
416,1003,23
417,1003,22
418,1004,22
419,1003,22
420,1003,22
421,1004,23
422,1003,22
423,1003,23
424,1003,23
425,1002,23
426,1003,22
427,1003,23
428,1002,22
429,1002,23
430,1002,23
431,1002,23
432,1002,23
433,1002,23
434,1001,23
435,1002,23
436,1002,23
437,1003,23
438,1002,23
439,1002,22
440,1002,22
441,1002,22
442,1002,22
443,1003,22
444,1002,22
