Time,Light
0,1006
1,1006
2,1006
3,1006
4,1006
5,1006
6,1006
7,1006
8,1006
9,1006
10,1006
11,1006
12,1006
13,1007
14,1006
15,1006
16,1006
17,1006
18,1006
19,1006
20,1006
21,1006
22,1006
23,1006
24,1006
25,1006
26,1006
27,1006
28,1006
29,1006
30,1006
31,1006
32,1007
33,1006
34,1006
35,1006
36,1006
37,1006
38,1006
39,1007
40,1007
41,1006
42,1006
43,1006
44,1006
45,1006
46,1007
47,1006
48,1006
49,1006
50,1006
51,1006
52,1007
53,1006
54,1006
55,1006
56,1006
57,1006
58,1006
59,1006
60,1006
61,1006
62,1006
63,1006
64,1006
65,1006
66,1006
67,1006
68,1006
69,1006
70,1006
71,1006
72,1007
73,1006
74,1007
75,1006
76,1007
77,1006
78,1006
79,1006
80,1006
81,1006
82,1007
83,1006
84,1006
85,1006
86,1007
87,1006
88,1006
89,1006
90,1006
91,1006
92,1007
93,1006
94,1006
95,1006
96,1006
97,1007
98,1006
99,1006
100,1006
101,1007
102,1006
103,1006
104,1007
105,1007
106,1007
107,1006
108,1006
109,1006
110,1006
111,1006
112,1006
113,1006
114,1006
115,1007
116,1006
117,1006
118,1006
119,1007
120,1006
121,1006
122,1006
123,1006
124,1006
125,1006
126,1006
127,1007
128,1006
129,1007
130,1006
131,1006
132,1006
133,1006
134,1006
135,1006
136,1006
137,1006
138,1006
139,1006
140,1006
141,1006
142,1006
143,1006
144,1006
145,1006
146,1006
147,1006
148,1006
149,1006
150,1006
151,1006
152,1006
153,1006
154,1006
155,1006
156,1006
157,1006
158,1006
159,1007
160,1007
161,1006
162,1006
163,1006
164,1007
165,1006
166,1006
167,1006
168,1006
169,1006
170,1006
171,1007
172,1006
173,1006
174,1006
175,1006
176,1007
177,1006
178,1006
179,1006
180,1006
181,1006
182,1006
183,1007
184,1006
185,1006
186,1007
187,1006
188,1006
189,1006
190,1006
191,1007
192,1006
193,1006
194,1006
195,1007
196,1006
197,1006
198,1006
199,1007
200,1006
201,1006
202,1006
203,1006
204,1006
205,1006
206,1007
207,1006
208,1006
209,1007
210,1006
211,1006
212,1006
213,1007
214,1006
215,1007
216,1006
217,1006
218,1006
219,1006
220,1006
221,1006
222,1006
223,1007
224,1006
225,1006
226,1006
227,1006
228,1006
229,1006
230,1007
231,1006
232,1006
233,1007
234,1007
235,1006
236,1006
237,1006
238,1006
239,1006
240,1006
241,1007
242,1007
243,1006
244,1006
245,1007
246,1006
247,1006
248,1006
249,1006
250,1006
251,1007
252,1006
253,1006
254,1006
255,1006
256,1006
257,1006
258,1006
259,1006
260,1006
261,1007
262,1006
263,1006
264,1006
265,1006
266,1006
267,1007
268,1007
269,1006
270,1006
271,1006
272,1006
273,1006
274,1006
275,1006
276,1007
277,1006
278,1007
279,1006
280,1006
281,1006
282,1006
283,1006
284,1006
285,1006
286,1006
287,1006
288,1006
289,1006
290,1006
291,1006
292,1006
293,1006
294,1006
295,1007
296,1006
297,1006
298,1006
299,1007
300,1006
301,1006
302,1006
303,1006
304,1006
305,1006
306,1006
307,1007
308,1006
309,1006
310,1007
311,1006
312,1006
313,1006
314,1006
315,1007
316,1006
317,1006
318,1006
319,1006
320,1006
321,1006
322,1006
323,1006
324,1006
325,1006
326,1006
327,1006
328,1006
329,1006
330,1006
331,1006
332,1006
333,1006
334,1006
335,1006
336,1006
337,1006
338,1006
339,1006
340,1006
341,1006
342,1007
343,1006
344,1006
345,1006
346,1007
347,1006
348,1007
349,1007
350,1007
351,1006
352,1007
353,1007
354,1006
355,1006
356,1007
357,1006
358,1006
359,1006
360,1006
361,1006
362,1006
363,1006
364,1006
365,1007
366,1006
367,1006
368,1006
369,1006
370,1007
371,1006
372,1007
373,1006
374,1007
375,1006
376,1007
377,1007
378,1006
379,1006
380,1007
381,1006
382,1006
383,1006
384,1006
385,1006
386,1006
387,1006
388,1006
389,1006
390,1007
391,1006
392,1006
393,1006
394,1007
395,1007
396,1006
397,1006
398,1006
399,1006
400,1007
401,1006
402,1006
403,1006
404,1006
405,1006
406,1006
407,1006
408,1006
409,1006
410,1006
411,1006
412,1006
413,1007
414,1006
415,1006
416,1006
417,1006
418,1006
419,1006
420,1006
421,1006
422,1006
423,1006
424,1006
425,1006
426,1006
427,1007
428,1006
429,1007
430,1006
431,1006
432,1006
433,1007
434,1006
435,1006
436,1006
437,1006
438,1006
439,1006
440,1006
441,1006
442,1006
443,1006
444,1006
445,1006
446,1006
447,1006
448,1006
449,1006
450,1006
451,1007
452,1006
453,1006
454,1007
455,1006
456,1006
457,1006
458,1006
459,1007
460,1006
461,1007
462,1006
463,1006
464,1006
465,1006
466,1006
467,1006
468,1006
469,1006
470,1006
471,1006
472,1006
473,1006
474,1006
475,1006
476,1006
477,1006
478,1006
479,1006
480,1007
481,1006
482,1006
483,1007
484,1006
485,1006
486,1007
487,1007
488,1006
489,1006
490,1006
491,1006
492,1006
493,1006
494,1006
495,1007
496,1006
497,1006
498,1006
499,1006
500,1007
501,1007
502,1006
503,1006
504,1006
505,1006
506,1006
507,1006
508,1006
509,1006
510,1006
511,1006
512,1007
513,1007
514,1006
515,1006
516,1007
517,1006
518,1007
519,1006
520,1007
521,1007
522,1006
523,1006
524,1007
525,1006
526,1006
527,1006
528,1006
529,1006
530,1006
531,1007
532,1006
533,1007
534,1007
535,1006
536,1006
537,1006
538,1007
539,1006
540,1006
541,1007
542,1007
543,1006
544,1006
545,1007
546,1006
547,1006
548,1007
549,1006
550,1006
551,1006
552,1006
553,1006
554,1006
555,1006
556,1006
557,1006
558,1007
559,1006
560,1006
561,1006
562,1006
563,1006
564,1007
565,1006
566,1006
567,1006
568,1006
569,1006
570,1006
571,1006
572,1006
573,1006
574,1006
575,1007
576,1006
577,1006
578,1006
579,1006
580,1006
581,1006
582,1006
583,1006
584,1006
585,1007
586,1006
587,1006
588,1006
589,1007
590,1006
591,1007
592,1006
593,1007
594,1006
595,1006
596,1006
597,1006
598,1006
599,1006
600,1006
601,1006
602,1006
603,1006
604,1007
605,1006
606,1006
607,1006
608,1006
609,1006
610,1006
611,1006
612,1006
613,1007
614,1006
615,1006
616,1006
617,1006
618,1006
619,1007
620,1006
621,1006
622,1006
623,1006
624,1006
625,1006
626,1007
627,1006
628,1006
629,1006
630,1006
631,1006
632,1006
633,1006
634,1006
635,1006
636,1006
637,1006
638,1006
639,1006
640,1006
641,1006
642,1006
643,1006
644,1006
645,1006
646,1007
647,1007
648,1006
649,1006
650,1006
651,1006
652,1006
653,1006
654,1006
